"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"126","148.68088032746977","44.81820756862679","0.0076904296875","0.01220703125","0.003173828125","1560","0.00042546168421971455","24","0.00042546168421971455","0","0.00042546168421971455","0.00042546168421971455","127:68;125:68","127:0.0022464080187943603;125:0.003970881407035554","127:0.002750862782426533;125:0.003353656462551702","0.0076904296875","Yes"
"127","138.83827807541266","136.67476912078163","0.0386962890625","0.048828125","0.028564453125","1560","0.0002211534962057976","24","0.0002211534962057976","0","0.0002211534962057976","0.0002211534962057976","126:68;128:68;137:68","126:0.0022464080187943603;128:0.0023269926005597963;137:0.0025567376638747086","126:0.002750862782426533;128:0.0023490530712214353;137:0.002020566854838479","0.0386962890625","Yes"
"128","133.0548612725889","53.48295847688276","0.043212890625","0.055419921875","0.031005859375","1560","0.0002469796025672731","24","0.0002469796025672731","0","0.0002469796025672731","0.0002469796025672731","127:68;129:68","127:0.0023269926005597963;129:0.0024570469111224458","127:0.0023490530712214353;129:0.0022966521150118435","0.043212890625","Yes"
"129","135.44467838922228","106.30219286970224","0.0159912109375","0.02197265625","0.015380859375","1560","0.0003898548674127516","24","0.0003898548674127516","0","0.0003898548674127516","0.0003898548674127516","130:68;128:68;118:68","130:0.003587262798877777;128:0.0024570469111224458;118:0.002341388028589575","130:0.002099234230862085;128:0.0022966521150118435;118:0.0025275569019085897","0.0159912109375","Yes"
"130","134.1876682541822","116.45387223680679","0.0078125","0.013671875","0.001953125","1560","0.000343187938155927","24","0.000343187938155927","0","0.000343187938155927","0.000343187938155927","129:68;131:68","129:0.003587262798877777;131:0.0018562001869954492","129:0.002099234230862085;131:0.001369154711950843","0.0078125","Yes"
"131","177.19436335870324","164.4780578751414","0.0938720703125","0.106689453125","0.0810546875","1560","0.00020157653805221424","24","0.00020157653805221424","0","0.00020157653805221424","0.00020157653805221424","138:68;130:68;132:68","138:0.002155276133048889;130:0.0018562001869954492;132:0.0016050798769148555","138:0.009063614748824167;130:0.001369154711950843;132:0.002082866777209008","0.0938720703125","Yes"
"132","132.54524509456107","127.43625359864402","0.0048828125","0.0068359375","0.0029296875","1560","0.00013307570369299932","24","0.00013307570369299932","0","0.00013307570369299932","0.00013307570369299932","133:68;131:68","133:0.0027448763419825883;131:0.0016050798769148555","133:0.002337988700380239;131:0.002082866777209008","0.0048828125","Yes"
"133","193.2563388808784","44.48072899971559","0.0184326171875","0.025146484375","0.01171875","1560","0.0001879091767421389","24","0.0001879091767421389","0","0.0001879091767421389","0.0001879091767421389","132:68;134:68;119:68","132:0.0027448763419825883;134:0.0026240957141632493;119:0.004620766714510921","132:0.002337988700380239;134:0.0022415180076588437;119:0.0028875569793968825","0.0184326171875","Yes"
"134","111.89077668395554","35.00436630986654","0.0059814453125","0.0078125","0.004150390625","1560","0.0003659328654948372","24","0.0003659328654948372","0","0.0003659328654948372","0.0003659328654948372","133:68;135:68","133:0.0026240957141632493;135:0.0025903064317983338","133:0.0022415180076588437;135:0.0020035436900729953","0.0059814453125","Yes"
"135","216.59597659677462","221.0969353905925","0.046142578125","0.07080078125","0.021484375","1560","0.00016612484589150793","24","0.00016612484589150793","0","0.00016612484589150793","0.00016612484589150793","134:68;139:68","134:0.0025903064317983338;139:0.003760929517622108","134:0.0020035436900729953;139:0.003530425735444709","0.046142578125","Yes"
"136","154.5520762817458","114.43883676856662","0.009765625","0.010986328125","0.008544921875","1560","0.0003702985989674066","24","0.0003702985989674066","0","0.0003702985989674066","0.0003702985989674066","123:68;143:68","123:0.00282839045217928;143:0.0018059334452186215","123:0.0016913131609028464;143:0.0015557185109405236","0.009765625","Yes"
"137","145.35545594230496","183.80843312870644","0.00439453125","0.006103515625","0.002685546875","1560","0.0001682779299742234","24","0.0001682779299742234","0","0.0001682779299742234","0.0001682779299742234","147:68;127:68","147:0.0026979829111313525;127:0.0025567376638747086","147:0.0026098696258286536;127:0.002020566854838479","0.00439453125","Yes"
"138","58.96430462143466","67.52791220714728","0.0107421875","0.014892578125","0.006591796875","1560","0.00024267593015643617","24","0.00024267593015643617","0","0.00024267593015643617","0.00024267593015643617","151:68;131:68","151:0.0026233707976192067;131:0.002155276133048889","151:0.002531228684694742;131:0.009063614748824167","0.0107421875","Yes"
"139","96.42934528655465","31.475438922947486","0.0103759765625","0.01806640625","0.002685546875","1560","0.0003822920058012745","24","0.0003822920058012745","0","0.0003822920058012745","0.0003822920058012745","155:68;135:68","155:0.002262420122790737;135:0.003760929517622108","155:0.002255054679654256;135:0.003530425735444709","0.0103759765625","Yes"
"140","116.45970792393479","156.0920690319542","0.02197265625","0.023681640625","0.020263671875","1560","0.0008334668452044877","24","0.0008334668452044877","0","0.0008334668452044877","0.0008334668452044877","141:68","141:0.002078575724235726","141:0.0013549791697817504","0.02197265625","Yes"
"141","196.926479019529","133.4944511645072","0.0098876953125","0.013916015625","0.005859375","1560","0.0002157164689933738","24","0.0002157164689933738","0","0.0002157164689933738","0.0002157164689933738","140:68;142:68","140:0.002078575724235726;142:0.0021256330321441363","140:0.0013549791697817504;142:0.0016870619548068622","0.0098876953125","Yes"
"142","154.66472230096386","198.5632806814352","0.00634765625","0.01123046875","0.00146484375","1560","0.0003506287514466372","24","0.0003506287514466372","0","0.0003506287514466372","0.0003506287514466372","143:68;141:68","143:0.0021399834143180363;141:0.0021256330321441363","143:0.0020196472045921066;141:0.0016870619548068622","0.00634765625","Yes"
"143","145.0523054638238","152.1691511190666","0.00634765625","0.010498046875","0.002197265625","1560","0.0002945985998694841","24","0.0002945985998694841","0","0.0002945985998694841","0.0002945985998694841","142:68;144:68;136:68","142:0.0021399834143180363;144:0.002312643579996304;136:0.0018059334452186215","142:0.0020196472045921066;144:0.002636318256532544;136:0.0015557185109405236","0.00634765625","Yes"
"144","169.7381402152662","204.11715958173016","0.0052490234375","0.0078125","0.002685546875","1560","0.00034255044006984136","24","0.00034255044006984136","0","0.00034255044006984136","0.00034255044006984136","145:68;143:68","145:0.0016568646920576136;143:0.002312643579996304","145:0.0014918078536779456;143:0.002636318256532544","0.0052490234375","Yes"
