Qubit,T2 (us),Prob meas 0 prep 1,Prob meas 1 prep 0,Single Qubit Gate Length (ns),x Error,sx Error,rz Error,rx Error,Gate Length (ns),cz Error,rzz Error
77,85.94184971042885,0.0146484375,0.003662109375,36,0.0002781631002874,0.0002781631002874,0,0.0002781631002874,85:68;65:68,85:0.0026496955537421707;65:0.0022045129778301975,85:0.003638101446794384;65:0.0015328060836495572
78,92.35437966092354,0.0146484375,0.001953125,36,0.0007063610065973,0.0007063610065973,0,0.0007063610065973,69:68;89:68,69:0.0018448630008241762;89:0.0017134127083574535,69:0.0026115182389842284;89:0.0016632664311640177
79,35.15016475920739,0.085205078125,0.075927734375,36,0.0005376162961877,0.0005376162961877,0,0.0005376162961877,93:68;73:68,93:0.0024359594013479147;73:0.0021020175859602364,93:0.0025627098499339807;73:0.0019835291556803414
80,42.492624382980445,0.0087890625,0.002197265625,36,0.0005019274449066,0.0005019274449066,0,0.0005019274449066,81:68,81:0.003045761655540019,81:0.0028361697899246807
81,232.23711213050964,0.025146484375,0.01318359375,36,0.0003728722460233,0.0003728722460233,0,0.0003728722460233,80:68;82:68;76:68,80:0.003045761655540019;82:0.09323549120560648;76:0.0027334005219336044,80:0.0028361697899246807;82:1;76:0.0028113991933834126
82,6.440762177221647,0.37744140625,0.3173828125,36,1.0,1.0,0,1.0,81:68;83:68,81:0.09323549120560648;83:1,81:1;83:0.001200718994030514
83,253.43787608916955,0.0986328125,0.09326171875,36,0.00027478946918,0.00027478946918,0,0.00027478946918,96:68;82:68;84:68,96:0.007222884041411692;82:1;84:0.0032027589136729984,96:0.007086460800954653;82:0.001200718994030514;84:0.002531686148323886
84,118.8900448641934,0.024169921875,0.001708984375,36,0.0004554966068466,0.0004554966068466,0,0.0004554966068466,83:68;85:68,83:0.0032027589136729984;85:0.003867186031273423,83:0.002531686148323886;85:0.002595316658729252
85,62.628668440475685,0.012451171875,0.001708984375,36,0.0003518630805804,0.0003518630805804,0,0.0003518630805804,77:68;86:68;84:68,77:0.0026496955537421707;86:0.003175020788149352;84:0.003867186031273423,77:0.003638101446794384;86:0.008457083676465305;84:0.002595316658729252
86,69.77704490302294,0.009765625,0.001220703125,36,0.0003667615589838,0.0003667615589838,0,0.0003667615589838,85:68;87:68,85:0.003175020788149352;87:0.0029401290840448957,85:0.008457083676465305;87:0.006657568116914175
87,145.30796956175146,0.01806640625,0.002197265625,36,0.0005025465542239,0.0005025465542239,0,0.0005025465542239,86:68;88:68;97:68,86:0.0029401290840448957;88:0.0017279029598977758;97:0.0018928589604387813,86:0.006657568116914175;88:0.0018585097453344412;97:0.0017990041139869795
88,158.313267392853,0.029541015625,0.0146484375,36,0.0002032177375982,0.0002032177375982,0,0.0002032177375982,87:68;89:68,87:0.0017279029598977758;89:0.0014061489863711751,87:0.0018585097453344412;89:0.0017793934930100397
89,280.6263973075121,0.0361328125,0.003662109375,36,0.0001752884771955,0.0001752884771955,0,0.0001752884771955,90:68;88:68;78:68,90:0.0031544224126345;88:0.0014061489863711751;78:0.0017134127083574535,90:0.0035736998374051865;88:0.0017793934930100397;78:0.0016632664311640177
90,70.45752053691075,0.03515625,0.016357421875,36,0.0011965313191954,0.0011965313191954,0,0.0011965313191954,89:68;91:80,89:0.0031544224126345;91:0.003926150553016927,89:0.0035736998374051865;91:0.003021986604952176
91,216.53347071654176,0.009765625,0.005126953125,36,0.0003195591061477,0.0003195591061477,0,0.0003195591061477,98:68;90:80;92:68,98:0.0016212729279961313;90:0.003926150553016927;92:0.0013759868422912325,98:0.001293621518592969;90:0.003021986604952176;92:0.001974089952431063
